date	account_id	campaign_id	ad_id	last_updated	created	impressions	clicks	conversion	revenue	cost
2020-01-01	a10	c10a10	10001	2020-02-02 12:21:05	2020-02-02 12:21:05	55183	479	31	0.645090733023868	15.6676499246003
2020-01-01	a10	c10a10	10002	2020-02-02 12:21:05	2020-02-02 12:21:05	64247	257	12	20.9759814296737	33.6362154146825
2020-01-01	a10	c10a10	10003	2020-02-02 12:21:05	2020-02-02 12:21:05	95730	487	25	38.7081226979886	39.8277767188045
2020-01-01	a10	c10a10	10004	2020-02-02 12:21:05	2020-02-02 12:21:05	14389	335	15	85.1318506454732	42.368968782187
2020-01-01	a10	c10a10	10005	2020-02-02 12:21:05	2020-02-02 12:21:05	7466	281	88	82.5086793780833	34.144010364145
2020-01-01	a10	c10a10	10006	2020-02-02 12:21:05	2020-02-02 12:21:05	13281	416	19	81.8971193311257	5.5104331139058
2020-01-01	a10	c10a10	10007	2020-02-02 12:21:05	2020-02-02 12:21:05	63617	462	15	94.1093443865466	42.2647828898694
2020-01-01	a10	c10a10	10008	2020-02-02 12:21:05	2020-02-02 12:21:05	47976	937	83	69.7870601759232	41.4152554894868
2020-01-01	a10	c10a10	10009	2020-02-02 12:21:05	2020-02-02 12:21:05	98700	591	33	6.471335751224	34.9496860918355
2020-01-01	a10	c10a10	10010	2020-02-02 12:21:05	2020-02-02 12:21:05	57994	854	50	36.0325290989282	4.6383847271271
2020-01-01	a10	c11a10	10011	2020-02-02 12:21:05	2020-02-02 12:21:05	59545	662	56	46.6115165718885	17.907677994998
2020-01-01	a10	c11a10	10012	2020-02-02 12:21:05	2020-02-02 12:21:05	8033	752	83	48.1118351910784	12.568097823564
2020-01-01	a10	c11a10	10013	2020-02-02 12:21:05	2020-02-02 12:21:05	52758	573	75	88.0248005446162	22.8571273260085
2020-01-01	a10	c11a10	10014	2020-02-02 12:21:05	2020-02-02 12:21:05	79539	759	57	1.14177241974593	15.6471212933059
2020-01-01	a10	c11a10	10015	2020-02-02 12:21:05	2020-02-02 12:21:05	18847	164	95	83.9171661454799	41.269435636359
2020-01-01	a10	c11a10	10016	2020-02-02 12:21:05	2020-02-02 12:21:05	93631	663	61	70.3151337664179	40.7614851793095
2020-01-01	a10	c11a10	10017	2020-02-02 12:21:05	2020-02-02 12:21:05	80337	768	22	72.033773815275	1.61625817493361
2020-01-01	a10	c11a10	10018	2020-02-02 12:21:05	2020-02-02 12:21:05	68072	586	37	21.44603618488	36.448066745162
2020-01-01	a10	c11a10	10019	2020-02-02 12:21:05	2020-02-02 12:21:05	28997	630	65	75.6257313190148	39.7231966907732
2020-01-01	a10	c11a10	10020	2020-02-02 12:21:05	2020-02-02 12:21:05	20418	313	30	81.9378349380278	13.8913169335068
2020-01-01	a10	c12a10	10021	2020-02-02 12:21:05	2020-02-02 12:21:05	75273	933	68	10.1365858270491	15.4664765649785
2020-01-01	a10	c12a10	10022	2020-02-02 12:21:05	2020-02-02 12:21:05	37957	154	8	72.7973117832082	6.29182528066068
2020-01-01	a10	c12a10	10023	2020-02-02 12:21:05	2020-02-02 12:21:05	62611	541	22	48.9099792432552	5.86333030642165
2020-01-01	a10	c12a10	10024	2020-02-02 12:21:05	2020-02-02 12:21:05	71437	897	82	81.368445736062	14.0949029308254
2020-01-01	a10	c12a10	10025	2020-02-02 12:21:05	2020-02-02 12:21:05	94482	555	33	86.0763943223639	44.6045512541218
2020-01-01	a10	c12a10	10026	2020-02-02 12:21:05	2020-02-02 12:21:05	88009	322	11	71.7875182962918	33.2216174729269
2020-01-01	a10	c12a10	10027	2020-02-02 12:21:05	2020-02-02 12:21:05	9796	246	72	54.7544063789558	32.6904444176194
2020-01-01	a10	c12a10	10028	2020-02-02 12:21:05	2020-02-02 12:21:05	79438	835	59	36.7451318245126	20.0338115543285
2020-01-01	a10	c12a10	10029	2020-02-02 12:21:05	2020-02-02 12:21:05	11681	192	67	56.3058845961028	8.10945060016096
2020-01-01	a10	c12a10	10030	2020-02-02 12:21:05	2020-02-02 12:21:05	28429	486	80	95.6601038554963	46.9558880650233
2020-01-01	a10	c13a10	10031	2020-02-02 12:21:05	2020-02-02 12:21:05	41114	312	67	88.7240604444985	5.0797502533904
2020-01-01	a10	c13a10	10032	2020-02-02 12:21:05	2020-02-02 12:21:05	89713	501	8	57.4345326318566	4.66224868067645
2020-01-01	a10	c13a10	10033	2020-02-02 12:21:05	2020-02-02 12:21:05	19124	291	45	13.9962045541015	9.11830715328376
2020-01-01	a10	c13a10	10034	2020-02-02 12:21:05	2020-02-02 12:21:05	30386	855	17	96.1867880524074	1.06395592496915
2020-01-01	a10	c13a10	10035	2020-02-02 12:21:05	2020-02-02 12:21:05	66877	249	91	36.1315967683362	3.73114922723321
2020-01-01	a10	c13a10	10036	2020-02-02 12:21:05	2020-02-02 12:21:05	76748	255	94	61.9902932839423	49.3835509286186
2020-01-01	a10	c13a10	10037	2020-02-02 12:21:05	2020-02-02 12:21:05	88004	823	38	20.0375711172994	19.0488079418656
2020-01-01	a10	c13a10	10038	2020-02-02 12:21:05	2020-02-02 12:21:05	20012	662	97	51.6732887139885	12.9224277860124
2020-01-01	a10	c13a10	10039	2020-02-02 12:21:05	2020-02-02 12:21:05	16793	123	24	50.219141249647	28.1310867416352
2020-01-01	a10	c13a10	10040	2020-02-02 12:21:05	2020-02-02 12:21:05	85273	835	58	54.352903437965	40.3267959553408
2020-01-01	a10	c14a10	10041	2020-02-02 12:21:05	2020-02-02 12:21:05	18014	455	75	23.5300168038951	32.1091663940387
2020-01-01	a10	c14a10	10042	2020-02-02 12:21:05	2020-02-02 12:21:05	36912	957	74	19.504086309813	5.93556918014566
2020-01-01	a10	c14a10	10043	2020-02-02 12:21:05	2020-02-02 12:21:05	67840	397	12	19.8075170255301	26.4317757805957
2020-01-01	a10	c14a10	10044	2020-02-02 12:21:05	2020-02-02 12:21:05	96290	890	93	9.30396840409561	17.4198892514314
2020-01-01	a10	c14a10	10045	2020-02-02 12:21:05	2020-02-02 12:21:05	47577	619	62	75.2739260789351	46.3125470310042
2020-01-01	a10	c14a10	10046	2020-02-02 12:21:05	2020-02-02 12:21:05	35450	945	33	7.77513818246086	24.36181517521
2020-01-01	a10	c14a10	10047	2020-02-02 12:21:05	2020-02-02 12:21:05	50449	437	48	79.1887747026928	20.9825714216486
2020-01-01	a10	c14a10	10048	2020-02-02 12:21:05	2020-02-02 12:21:05	14505	674	11	63.4760392194037	1.66612444523076
