date	account_id	campaign_id	ad_id	last_updated	created	impressions	clicks	conversion	revenue	cost
2020-01-02	a11	c11a11	ad1001c11a11	2020-02-02 12:21:05	2020-02-02 12:21:05	95679	401	6	78.37906557991126	49.45561515607667
2020-01-02	a11	c10a11	ad1005c10a11	2020-02-02 12:21:05	2020-02-02 12:21:05	35120	616	8	65.97069951983667	47.7060273511829
2020-01-02	a11	c13a11	ad1005c13a11	2020-02-02 12:21:05	2020-02-02 12:21:05	72176	961	94	55.50884644291776	47.08110864603944
2020-01-02	a11	c11a11	ad1004c11a11	2020-02-02 12:21:05	2020-02-02 12:21:05	30064	825	58	93.90495558916821	46.86750457476243
2020-01-02	a11	c13a11	ad1001c13a11	2020-02-02 12:21:05	2020-02-02 12:21:05	56753	241	12	77.22241467666925	45.852068344062225
2020-01-02	a11	c11a11	ad1003c11a11	2020-02-02 12:21:05	2020-02-02 12:21:05	2626	287	88	69.8013606806292	35.118222066721984
2020-01-02	a11	c10a11	ad1003c10a11	2020-02-02 12:21:05	2020-02-02 12:21:05	62506	588	98	58.3961638428253	31.961418470349823
2020-01-02	a11	c10a11	ad1009c10a11	2020-02-02 12:21:05	2020-02-02 12:21:05	67872	462	94	98.33078854639585	27.699841967644094
2020-01-02	a11	c14a11	ad1004c14a11	2020-02-02 12:21:05	2020-02-02 12:21:05	43546	917	78	66.00542970281347	26.986159746063016
2020-01-02	a11	c12a11	ad1000c12a11	2020-02-02 12:21:05	2020-02-02 12:21:05	8082	778	4	90.86882182903068	26.86195500514561
2020-01-02	a11	c12a11	ad1006c12a11	2020-02-02 12:21:05	2020-02-02 12:21:05	21611	925	6	90.15536866623692	23.453361179425084
2020-01-02	a11	c11a11	ad1009c11a11	2020-02-02 12:21:05	2020-02-02 12:21:05	31840	741	29	61.16100710870745	22.323702123166854
2020-01-02	a11	c13a11	ad1006c13a11	2020-02-02 12:21:05	2020-02-02 12:21:05	23457	955	72	56.870921494844794	19.299407335603334
2020-01-02	a11	c13a11	ad1009c13a11	2020-02-02 12:21:05	2020-02-02 12:21:05	30613	884	75	81.09056133827687	17.054050609960246
2020-01-02	a11	c14a11	ad1008c14a11	2020-02-02 12:21:05	2020-02-02 12:21:05	12190	380	34	73.85035826538241	16.73586122539633
2020-01-02	a11	c12a11	ad1004c12a11	2020-02-02 12:21:05	2020-02-02 12:21:05	80049	442	38	83.57857488262401	15.898591450368329
2020-01-02	a11	c14a11	ad1007c14a11	2020-02-02 12:21:05	2020-02-02 12:21:05	35401	189	65	56.31097334265288	11.23559589555282
2020-01-02	a11	c10a11	ad1008c10a11	2020-02-02 12:21:05	2020-02-02 12:21:05	71385	265	1	98.08691595591927	8.190237245611026
2020-01-02	a11	c13a11	ad1002c13a11	2020-02-02 12:21:05	2020-02-02 12:21:05	29190	413	74	63.277916732839266	5.283283281737605
2020-01-02	a11	c14a11	ad1006c14a11	2020-02-02 12:21:05	2020-02-02 12:21:05	65392	377	71	72.46379171147188	0.907970918765278
