date	account_id	campaign_id	ad_id	last_updated	impressions	clicks	conversion	revenue	cost
2020-01-02	acc11	camp11	ad1001c11a11	2020-02-02 12:21:05	95679	401	6	78.37906557991126	49.45561515607667
2020-01-02	acc11	camp13	ad1007c13a11	2020-02-02 12:21:05	65163	939	85	32.986357264680024	49.28513751331956
2020-01-02	acc11	camp12	ad1005c12a11	2020-02-02 12:21:05	59562	495	77	30.85535337722644	48.53874130572134
2020-01-02	acc11	camp10	ad1006c10a11	2020-02-02 12:21:05	35180	851	39	9.478780026304898	48.26329022099417
2020-01-02	acc11	camp10	ad1005c10a11	2020-02-02 12:21:05	35120	616	8	65.97069951983667	47.7060273511829
2020-01-02	acc11	camp13	ad1005c13a11	2020-02-02 12:21:05	72176	961	94	55.50884644291776	47.08110864603944
2020-01-02	acc11	camp11	ad1004c11a11	2020-02-02 12:21:05	30064	825	58	93.90495558916821	46.86750457476243
2020-01-02	acc11	camp13	ad1001c13a11	2020-02-02 12:21:05	56753	241	12	77.22241467666925	45.852068344062225
2020-01-02	acc11	camp14	ad1005c14a11	2020-02-02 12:21:05	87628	565	10	26.461397310002425	42.52234659740811
2020-01-02	acc11	camp13	ad1008c13a11	2020-02-02 12:21:05	64625	797	89	3.9022455010107935	42.0801485386119
2020-01-02	acc11	camp11	ad1007c11a11	2020-02-02 12:21:05	91043	673	96	20.18237445511966	40.67556645752656
2020-01-02	acc11	camp14	ad1000c14a11	2020-02-02 12:21:05	71514	724	10	36.45603933206575	36.98044164896963
2020-01-02	acc11	camp10	ad1001c10a11	2020-02-02 12:21:05	88083	437	99	43.78921945755799	35.72641624404416
2020-01-02	acc11	camp11	ad1003c11a11	2020-02-02 12:21:05	2626	287	88	69.8013606806292	35.118222066721984
2020-01-02	acc11	camp12	ad1003c12a11	2020-02-02 12:21:05	50710	397	80	39.40993120866359	35.05264475711279
2020-01-02	acc11	camp10	ad1003c10a11	2020-02-02 12:21:05	62506	588	98	58.3961638428253	31.961418470349823
2020-01-02	acc11	camp11	ad1008c11a11	2020-02-02 12:21:05	38451	646	52	7.540600051889476	30.8584924930979
2020-01-02	acc11	camp14	ad1009c14a11	2020-02-02 12:21:05	56832	844	95	26.460024959621965	30.65530666180668
2020-01-02	acc11	camp10	ad1000c10a11	2020-02-02 12:21:05	29834	103	90	37.26570128335883	28.566522909592152
2020-01-02	acc11	camp10	ad1009c10a11	2020-02-02 12:21:05	67872	462	94	98.33078854639585	27.699841967644094
2020-01-02	acc11	camp14	ad1004c14a11	2020-02-02 12:21:05	43546	917	78	66.00542970281347	26.986159746063016
2020-01-02	acc11	camp12	ad1000c12a11	2020-02-02 12:21:05	8082	778	4	90.86882182903068	26.86195500514561
2020-01-02	acc11	camp14	ad1003c14a11	2020-02-02 12:21:05	71695	515	24	23.580896539418443	25.283993233593176
